"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"607","MDSCs_STAT3_IFNa",-18.6049397417759,-17.9250010847296,0.0484268224241006,7.34892199611795e-05,0.00837850524248156,"linear","linear"
"608","MDSCs_STAT3_IL246",35.867893672428,37.3007899221611,0.908727335361733,0.000341533613425373,0.0246097147967609,"linear","linear"
"609","MDSCs_STAT3_unstim",-15.7382006506594,-14.3029955883009,0.871486683856769,5.3966985728559e-05,0.00381899032852505,"linear","linear"
"610","MDSCs_STAT5_GMCSF",-3.30890056424132,-2.13690904412203,0.336669903867949,0.00010138195522015,0.00537571243148473,"linear","linear"
"611","MDSCs_STAT5_IFNa",-5.44919479255568,-4.13764787527033,0.898286980242553,8.58530826699772e-05,0.00672521861007025,"linear","linear"
"612","MDSCs_STAT5_IL246",-8.57468280575015,-7.15456632652284,0.448415849480776,7.06068433480093e-05,0.00385085693510863,"linear","linear"
"613","MDSCs_STAT5_unstim",-57.7004058319598,-56.381474708914,0.538236141046717,1.32137999657506e-05,0.00119708580053515,"linear","linear"
"614","MDSCs_STAT6_IFNa",6.34453813194554,7.61938465732934,0.451272443025408,0.000134177086250707,0.0125526838980833,"linear","linear"
"615","MDSCs_STAT6_IL246",0.0882726236361684,2.02104002030658,0.438200481668176,3.30593052149297e-05,0.00451645449727146,"linear","linear"
"616","MDSCs_STAT6_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"617","ncMCs_CREB_GMCSF",-34.360808384971,-33.6272215936858,0.750049397629457,4.10433003438906e-05,0.00284407204297844,"linear","linear"
"618","ncMCs_CREB_IFNa",-70.83916393841,-68.8406635743324,0.294637722469283,-3.92540993794323e-07,0.000190931163342778,"linear","linear"
"619","ncMCs_CREB_IL246",-56.0429610504071,-54.5457402184797,0.937656592491265,-1.20837467218293e-05,-0.000935625911302933,"linear","linear"
"620","ncMCs_CREB_LPS",-19.5360399898252,-17.8808972773714,0.198041406205172,-3.69651483530814e-05,-0.00106630640996383,"linear","linear"
"621","ncMCs_CREB_unstim",-26.4204651165765,-25.5535893897074,0.550777682880814,-5.16738821093724e-05,-0.00328117546903008,"linear","linear"
"622","ncMCs_ERK_GMCSF",-44.2948738018831,-42.5852362177956,0.127791046733893,-1.40230233130447e-05,-0.00190335634704182,"linear","linear"
"623","ncMCs_ERK_IL246",-119.295883118343,-118.578388520999,0.863670984623461,-1.98826522703199e-06,-0.000143211976151715,"linear","linear"
"624","ncMCs_ERK_LPS",-7.76461637975482,-6.36117016705922,0.698770703678308,-7.36948922337079e-05,-0.00478134078529782,"linear","linear"
"625","ncMCs_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"626","ncMCs_IkB_GMCSF",-73.717028721838,-71.7220223628105,0.44048952672108,-6.46303474045406e-07,-0.000193389406427948,"linear","linear"
"627","ncMCs_IkB_IFNa",-86.2263053583054,-84.2415510366347,0.863988812808928,-7.2226465232269e-07,-3.3974567271513e-05,"linear","linear"
"628","ncMCs_IkB_IL246",-71.283457211623,-70.168816404545,0.102914400588306,9.2414954972021e-06,0.000345197768192017,"linear","linear"
"629","ncMCs_IkB_LPS",-80.0486018162829,-78.7502985103393,0.308969422432527,-6.03554080019148e-06,-0.000299905749693447,"linear","linear"
"630","ncMCs_IkB_unstim",-80.0486018162829,-78.7502985103393,0.308969422432527,6.03554080019148e-06,0.000299905749693447,"linear","linear"
"631","ncMCs_MAPKAPK2_GMCSF",-41.0863064636096,-39.1067457849543,0.0120280625698283,4.19238039031011e-06,-0.00140509622817593,"linear","linear"
"632","ncMCs_MAPKAPK2_IL246",-61.1761053190511,-62.3657265832217,0.053721589085039,-2.41760544734846e-05,-0.00240367034504757,"quadratic","deceleration/increase"
"633","ncMCs_MAPKAPK2_LPS",15.1512577767789,16.6538175321339,0.534424211811225,-0.000152821250845395,-0.00871331354136566,"linear","linear"
"634","ncMCs_MAPKAPK2_unstim",-38.7340430085142,-37.1737260608381,0.518160757641432,-2.09913172392167e-05,-0.00115647278452046,"linear","linear"
"635","ncMCs_NFkB_GMCSF",-52.6438821574988,-53.4010762949005,0.235948009430629,3.07131031664842e-05,0.00196122521591684,"quadratic","deceleration/decrease"
"636","ncMCs_NFkB_IFNa",-58.1975210751255,-56.6634954301434,0.171192100695663,1.07785273691132e-05,0.00127010290718063,"linear","linear"
"637","ncMCs_NFkB_IL246",-53.6700335239783,-52.5222216042875,0.467920019854655,1.70175930815616e-05,0.00100086176120871,"linear","linear"
"638","ncMCs_NFkB_LPS",-51.5444640600845,-49.8020700500567,0.929816165045203,1.02013522885941e-05,0.000802906036970253,"linear","linear"
"639","ncMCs_NFkB_unstim",-21.9433836219966,-20.9902919563666,0.617783128380908,-5.83698326596426e-05,-0.00379710569822171,"linear","linear"
"640","ncMCs_p38_GMCSF",-124.232418710951,-122.335467475724,0.175013759400325,4.82469038477805e-07,-6.80367714315485e-06,"linear","linear"
"641","ncMCs_p38_LPS",10.6765364886755,12.6721664586588,0.0956884160929727,-1.23158027528748e-05,0.00575947287223005,"linear","linear"
"642","ncMCs_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"643","ncMCs_S6_GMCSF",-51.0253804697217,-49.0759591100397,0.0538076871332862,4.6218644290675e-06,-0.000525135674916897,"linear","linear"
"644","ncMCs_S6_IFNa",-42.7559361543695,-40.8002069956826,0.583878457375664,-5.81038305060921e-06,-0.000128089489826895,"linear","linear"
"645","ncMCs_S6_IL246",-41.1846333425724,-39.1890813289548,0.485116170798848,-1.94943189521632e-06,-0.00056439107025828,"linear","linear"
