"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"226","CD56loCD16posNK_CREB_LPS",-734.989093723027,-733.607981838947,0.00234798224010256,-7.58689860629285e-05,0.00602931873301792,"linear","linear"
"227","CD56loCD16posNK_CREB_unstim",-505.9950619849,-513.460394031168,0.00123436788452423,-0.000627280161011855,0.0389454952130493,"quadratic","deceleration/increase"
"228","CD56loCD16posNK_ERK_IL246",-542.225228550507,-545.937424979728,0.0247619372880811,-0.000434550605035857,0.0271544994521739,"quadratic","deceleration/increase"
"229","CD56loCD16posNK_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"230","CD56loCD16posNK_IkB_IFNa",-786.377754541814,-784.398852825694,0.483396709346835,-1.18146703602925e-05,0.000978870744530351,"linear","linear"
"231","CD56loCD16posNK_IkB_IL246",-757.131209619921,-755.141855406882,0.302368413461277,9.2519484556621e-06,-0.000248522987420465,"linear","linear"
"232","CD56loCD16posNK_IkB_LPS",-782.869015869887,-780.887320613848,0.0159092974284408,-1.11342588580753e-05,0.00147556315069352,"linear","linear"
"233","CD56loCD16posNK_IkB_unstim",-555.852971085839,-556.194763869655,0.0198571276392867,-0.000267370513352066,0.0157064963474097,"quadratic","deceleration/increase"
"234","CD56loCD16posNK_MAPKAPK2_IFNa",-609.796794373414,-609.447423286012,0.00892145383130318,-0.000187746345009859,0.0135975055420834,"linear","linear"
"235","CD56loCD16posNK_MAPKAPK2_IL246",-585.493626827501,-584.635367056654,0.183319189353904,-0.00016946524034703,0.0117534784781949,"linear","linear"
"236","CD56loCD16posNK_MAPKAPK2_LPS",-611.68760629592,-612.588298144451,0.00701462408266728,-0.000246807183396046,0.0174340674153126,"quadratic","deceleration/increase"
"237","CD56loCD16posNK_MAPKAPK2_unstim",-342.962470803697,-345.358847439047,0.0033442129272481,-0.000742327754521484,0.04434855087775,"quadratic","deceleration/increase"
"238","CD56loCD16posNK_NFkB_IFNa",-649.206775048934,-647.95994639573,0.890764082648781,0.000111375740705263,-0.00726544214802137,"linear","linear"
"239","CD56loCD16posNK_NFkB_IL246",-550.207426153691,-548.631830130312,0.6511703244751,-0.000116355651799021,0.0078256880808082,"linear","linear"
